subject_id,model_type,accuracy,f1_score,class_metrics,confusion_matrix,num_samples,model_selection,base_model_count,personal_model_count,base_model_pct,personal_model_pct
2,adaptive,0.968421052631579,0.9685956354300385,"{""Baseline"": {""correct"": 36, ""total"": 38, ""accuracy_pct"": 94.73684210526315}, ""Stress"": {""correct"": 19, ""total"": 20, ""accuracy_pct"": 95.0}, ""Amusement"": {""correct"": 12, ""total"": 12, ""accuracy_pct"": 100.0}, ""Meditation"": {""correct"": 25, ""total"": 25, ""accuracy_pct"": 100.0}}","[[36, 2, 0, 0], [1, 19, 0, 0], [0, 0, 12, 0], [0, 0, 0, 25]]",95,"{""Baseline"": {""base_model_used"": 36, ""personal_model_used"": 2, ""base_model_pct"": 94.73684210526315, ""personal_model_pct"": 5.263157894736842}, ""Stress"": {""base_model_used"": 19, ""personal_model_used"": 1, ""base_model_pct"": 95.0, ""personal_model_pct"": 5.0}, ""Amusement"": {""base_model_used"": 10, ""personal_model_used"": 2, ""base_model_pct"": 83.33333333333334, ""personal_model_pct"": 16.666666666666664}, ""Meditation"": {""base_model_used"": 23, ""personal_model_used"": 2, ""base_model_pct"": 92.0, ""personal_model_pct"": 8.0}}",88,7,92.63157894736842,7.368421052631578
3,adaptive,0.96875,0.9688691094941095,"{""Baseline"": {""correct"": 36, ""total"": 38, ""accuracy_pct"": 94.73684210526315}, ""Stress"": {""correct"": 21, ""total"": 21, ""accuracy_pct"": 100.0}, ""Amusement"": {""correct"": 11, ""total"": 12, ""accuracy_pct"": 91.66666666666666}, ""Meditation"": {""correct"": 25, ""total"": 25, ""accuracy_pct"": 100.0}}","[[36, 0, 1, 1], [0, 21, 0, 0], [0, 0, 11, 1], [0, 0, 0, 25]]",96,"{""Baseline"": {""base_model_used"": 35, ""personal_model_used"": 3, ""base_model_pct"": 92.10526315789474, ""personal_model_pct"": 7.894736842105263}, ""Stress"": {""base_model_used"": 16, ""personal_model_used"": 5, ""base_model_pct"": 76.19047619047619, ""personal_model_pct"": 23.809523809523807}, ""Amusement"": {""base_model_used"": 11, ""personal_model_used"": 1, ""base_model_pct"": 91.66666666666666, ""personal_model_pct"": 8.333333333333332}, ""Meditation"": {""base_model_used"": 22, ""personal_model_used"": 3, ""base_model_pct"": 88.0, ""personal_model_pct"": 12.0}}",84,12,87.5,12.5
4,adaptive,0.9690721649484536,0.9695039620333314,"{""Baseline"": {""correct"": 37, ""total"": 38, ""accuracy_pct"": 97.36842105263158}, ""Stress"": {""correct"": 21, ""total"": 21, ""accuracy_pct"": 100.0}, ""Amusement"": {""correct"": 12, ""total"": 12, ""accuracy_pct"": 100.0}, ""Meditation"": {""correct"": 24, ""total"": 26, ""accuracy_pct"": 92.3076923076923}}","[[37, 1, 0, 0], [0, 21, 0, 0], [0, 0, 12, 0], [0, 0, 2, 24]]",97,"{""Baseline"": {""base_model_used"": 33, ""personal_model_used"": 5, ""base_model_pct"": 86.8421052631579, ""personal_model_pct"": 13.157894736842104}, ""Stress"": {""base_model_used"": 7, ""personal_model_used"": 14, ""base_model_pct"": 33.33333333333333, ""personal_model_pct"": 66.66666666666666}, ""Amusement"": {""base_model_used"": 10, ""personal_model_used"": 2, ""base_model_pct"": 83.33333333333334, ""personal_model_pct"": 16.666666666666664}, ""Meditation"": {""base_model_used"": 14, ""personal_model_used"": 12, ""base_model_pct"": 53.84615384615385, ""personal_model_pct"": 46.15384615384615}}",64,33,65.97938144329896,34.02061855670103
5,adaptive,0.9494949494949495,0.9513695217760257,"{""Baseline"": {""correct"": 40, ""total"": 40, ""accuracy_pct"": 100.0}, ""Stress"": {""correct"": 20, ""total"": 21, ""accuracy_pct"": 95.23809523809523}, ""Amusement"": {""correct"": 11, ""total"": 12, ""accuracy_pct"": 91.66666666666666}, ""Meditation"": {""correct"": 23, ""total"": 26, ""accuracy_pct"": 88.46153846153845}}","[[40, 0, 0, 0], [0, 20, 1, 0], [0, 0, 11, 1], [0, 0, 3, 23]]",99,"{""Baseline"": {""base_model_used"": 40, ""personal_model_used"": 0, ""base_model_pct"": 100.0, ""personal_model_pct"": 0.0}, ""Stress"": {""base_model_used"": 17, ""personal_model_used"": 4, ""base_model_pct"": 80.95238095238095, ""personal_model_pct"": 19.047619047619047}, ""Amusement"": {""base_model_used"": 9, ""personal_model_used"": 3, ""base_model_pct"": 75.0, ""personal_model_pct"": 25.0}, ""Meditation"": {""base_model_used"": 23, ""personal_model_used"": 3, ""base_model_pct"": 88.46153846153845, ""personal_model_pct"": 11.538461538461538}}",89,10,89.8989898989899,10.1010101010101
6,adaptive,0.9591836734693877,0.960491385257569,"{""Baseline"": {""correct"": 37, ""total"": 39, ""accuracy_pct"": 94.87179487179486}, ""Stress"": {""correct"": 20, ""total"": 21, ""accuracy_pct"": 95.23809523809523}, ""Amusement"": {""correct"": 12, ""total"": 12, ""accuracy_pct"": 100.0}, ""Meditation"": {""correct"": 25, ""total"": 26, ""accuracy_pct"": 96.15384615384616}}","[[37, 0, 2, 0], [0, 20, 0, 1], [0, 0, 12, 0], [0, 0, 1, 25]]",98,"{""Baseline"": {""base_model_used"": 38, ""personal_model_used"": 1, ""base_model_pct"": 97.43589743589743, ""personal_model_pct"": 2.564102564102564}, ""Stress"": {""base_model_used"": 19, ""personal_model_used"": 2, ""base_model_pct"": 90.47619047619048, ""personal_model_pct"": 9.523809523809524}, ""Amusement"": {""base_model_used"": 9, ""personal_model_used"": 3, ""base_model_pct"": 75.0, ""personal_model_pct"": 25.0}, ""Meditation"": {""base_model_used"": 21, ""personal_model_used"": 5, ""base_model_pct"": 80.76923076923077, ""personal_model_pct"": 19.230769230769234}}",87,11,88.77551020408163,11.224489795918368
7,adaptive,0.9387755102040817,0.9386250654107797,"{""Baseline"": {""correct"": 37, ""total"": 39, ""accuracy_pct"": 94.87179487179486}, ""Stress"": {""correct"": 21, ""total"": 21, ""accuracy_pct"": 100.0}, ""Amusement"": {""correct"": 12, ""total"": 12, ""accuracy_pct"": 100.0}, ""Meditation"": {""correct"": 22, ""total"": 26, ""accuracy_pct"": 84.61538461538461}}","[[37, 0, 2, 0], [0, 21, 0, 0], [0, 0, 12, 0], [4, 0, 0, 22]]",98,"{""Baseline"": {""base_model_used"": 32, ""personal_model_used"": 7, ""base_model_pct"": 82.05128205128204, ""personal_model_pct"": 17.94871794871795}, ""Stress"": {""base_model_used"": 21, ""personal_model_used"": 0, ""base_model_pct"": 100.0, ""personal_model_pct"": 0.0}, ""Amusement"": {""base_model_used"": 9, ""personal_model_used"": 3, ""base_model_pct"": 75.0, ""personal_model_pct"": 25.0}, ""Meditation"": {""base_model_used"": 24, ""personal_model_used"": 2, ""base_model_pct"": 92.3076923076923, ""personal_model_pct"": 7.6923076923076925}}",86,12,87.75510204081633,12.244897959183673
8,adaptive,0.9191919191919192,0.9185314053606737,"{""Baseline"": {""correct"": 37, ""total"": 39, ""accuracy_pct"": 94.87179487179486}, ""Stress"": {""correct"": 17, ""total"": 22, ""accuracy_pct"": 77.27272727272727}, ""Amusement"": {""correct"": 11, ""total"": 12, ""accuracy_pct"": 91.66666666666666}, ""Meditation"": {""correct"": 26, ""total"": 26, ""accuracy_pct"": 100.0}}","[[37, 0, 2, 0], [5, 17, 0, 0], [1, 0, 11, 0], [0, 0, 0, 26]]",99,"{""Baseline"": {""base_model_used"": 36, ""personal_model_used"": 3, ""base_model_pct"": 92.3076923076923, ""personal_model_pct"": 7.6923076923076925}, ""Stress"": {""base_model_used"": 20, ""personal_model_used"": 2, ""base_model_pct"": 90.9090909090909, ""personal_model_pct"": 9.090909090909092}, ""Amusement"": {""base_model_used"": 12, ""personal_model_used"": 0, ""base_model_pct"": 100.0, ""personal_model_pct"": 0.0}, ""Meditation"": {""base_model_used"": 19, ""personal_model_used"": 7, ""base_model_pct"": 73.07692307692307, ""personal_model_pct"": 26.923076923076923}}",87,12,87.87878787878788,12.121212121212121
9,adaptive,0.9693877551020408,0.9697959183673469,"{""Baseline"": {""correct"": 36, ""total"": 39, ""accuracy_pct"": 92.3076923076923}, ""Stress"": {""correct"": 21, ""total"": 21, ""accuracy_pct"": 100.0}, ""Amusement"": {""correct"": 12, ""total"": 12, ""accuracy_pct"": 100.0}, ""Meditation"": {""correct"": 26, ""total"": 26, ""accuracy_pct"": 100.0}}","[[36, 3, 0, 0], [0, 21, 0, 0], [0, 0, 12, 0], [0, 0, 0, 26]]",98,"{""Baseline"": {""base_model_used"": 35, ""personal_model_used"": 4, ""base_model_pct"": 89.74358974358975, ""personal_model_pct"": 10.256410256410255}, ""Stress"": {""base_model_used"": 21, ""personal_model_used"": 0, ""base_model_pct"": 100.0, ""personal_model_pct"": 0.0}, ""Amusement"": {""base_model_used"": 12, ""personal_model_used"": 0, ""base_model_pct"": 100.0, ""personal_model_pct"": 0.0}, ""Meditation"": {""base_model_used"": 25, ""personal_model_used"": 1, ""base_model_pct"": 96.15384615384616, ""personal_model_pct"": 3.8461538461538463}}",93,5,94.89795918367348,5.1020408163265305
10,adaptive,1.0,1.0,"{""Baseline"": {""correct"": 39, ""total"": 39, ""accuracy_pct"": 100.0}, ""Stress"": {""correct"": 24, ""total"": 24, ""accuracy_pct"": 100.0}, ""Amusement"": {""correct"": 12, ""total"": 12, ""accuracy_pct"": 100.0}, ""Meditation"": {""correct"": 26, ""total"": 26, ""accuracy_pct"": 100.0}}","[[39, 0, 0, 0], [0, 24, 0, 0], [0, 0, 12, 0], [0, 0, 0, 26]]",101,"{""Baseline"": {""base_model_used"": 38, ""personal_model_used"": 1, ""base_model_pct"": 97.43589743589743, ""personal_model_pct"": 2.564102564102564}, ""Stress"": {""base_model_used"": 24, ""personal_model_used"": 0, ""base_model_pct"": 100.0, ""personal_model_pct"": 0.0}, ""Amusement"": {""base_model_used"": 11, ""personal_model_used"": 1, ""base_model_pct"": 91.66666666666666, ""personal_model_pct"": 8.333333333333332}, ""Meditation"": {""base_model_used"": 25, ""personal_model_used"": 1, ""base_model_pct"": 96.15384615384616, ""personal_model_pct"": 3.8461538461538463}}",98,3,97.02970297029702,2.9702970297029703
11,adaptive,0.9797979797979798,0.9790558700416774,"{""Baseline"": {""correct"": 39, ""total"": 39, ""accuracy_pct"": 100.0}, ""Stress"": {""correct"": 22, ""total"": 22, ""accuracy_pct"": 100.0}, ""Amusement"": {""correct"": 10, ""total"": 12, ""accuracy_pct"": 83.33333333333334}, ""Meditation"": {""correct"": 26, ""total"": 26, ""accuracy_pct"": 100.0}}","[[39, 0, 0, 0], [0, 22, 0, 0], [1, 1, 10, 0], [0, 0, 0, 26]]",99,"{""Baseline"": {""base_model_used"": 36, ""personal_model_used"": 3, ""base_model_pct"": 92.3076923076923, ""personal_model_pct"": 7.6923076923076925}, ""Stress"": {""base_model_used"": 18, ""personal_model_used"": 4, ""base_model_pct"": 81.81818181818183, ""personal_model_pct"": 18.181818181818183}, ""Amusement"": {""base_model_used"": 11, ""personal_model_used"": 1, ""base_model_pct"": 91.66666666666666, ""personal_model_pct"": 8.333333333333332}, ""Meditation"": {""base_model_used"": 24, ""personal_model_used"": 2, ""base_model_pct"": 92.3076923076923, ""personal_model_pct"": 7.6923076923076925}}",89,10,89.8989898989899,10.1010101010101
13,adaptive,0.8484848484848485,0.8454131962903894,"{""Baseline"": {""correct"": 34, ""total"": 39, ""accuracy_pct"": 87.17948717948718}, ""Stress"": {""correct"": 14, ""total"": 22, ""accuracy_pct"": 63.63636363636363}, ""Amusement"": {""correct"": 11, ""total"": 12, ""accuracy_pct"": 91.66666666666666}, ""Meditation"": {""correct"": 25, ""total"": 26, ""accuracy_pct"": 96.15384615384616}}","[[34, 0, 0, 5], [3, 14, 4, 1], [1, 0, 11, 0], [1, 0, 0, 25]]",99,"{""Baseline"": {""base_model_used"": 34, ""personal_model_used"": 5, ""base_model_pct"": 87.17948717948718, ""personal_model_pct"": 12.82051282051282}, ""Stress"": {""base_model_used"": 18, ""personal_model_used"": 4, ""base_model_pct"": 81.81818181818183, ""personal_model_pct"": 18.181818181818183}, ""Amusement"": {""base_model_used"": 6, ""personal_model_used"": 6, ""base_model_pct"": 50.0, ""personal_model_pct"": 50.0}, ""Meditation"": {""base_model_used"": 23, ""personal_model_used"": 3, ""base_model_pct"": 88.46153846153845, ""personal_model_pct"": 11.538461538461538}}",81,18,81.81818181818183,18.181818181818183
14,adaptive,0.9595959595959596,0.9590634438330915,"{""Baseline"": {""correct"": 38, ""total"": 39, ""accuracy_pct"": 97.43589743589743}, ""Stress"": {""correct"": 19, ""total"": 22, ""accuracy_pct"": 86.36363636363636}, ""Amusement"": {""correct"": 12, ""total"": 12, ""accuracy_pct"": 100.0}, ""Meditation"": {""correct"": 26, ""total"": 26, ""accuracy_pct"": 100.0}}","[[38, 0, 0, 1], [1, 19, 1, 1], [0, 0, 12, 0], [0, 0, 0, 26]]",99,"{""Baseline"": {""base_model_used"": 38, ""personal_model_used"": 1, ""base_model_pct"": 97.43589743589743, ""personal_model_pct"": 2.564102564102564}, ""Stress"": {""base_model_used"": 21, ""personal_model_used"": 1, ""base_model_pct"": 95.45454545454545, ""personal_model_pct"": 4.545454545454546}, ""Amusement"": {""base_model_used"": 10, ""personal_model_used"": 2, ""base_model_pct"": 83.33333333333334, ""personal_model_pct"": 16.666666666666664}, ""Meditation"": {""base_model_used"": 25, ""personal_model_used"": 1, ""base_model_pct"": 96.15384615384616, ""personal_model_pct"": 3.8461538461538463}}",94,5,94.94949494949495,5.05050505050505
15,adaptive,0.9292929292929293,0.9290777448672185,"{""Baseline"": {""correct"": 37, ""total"": 39, ""accuracy_pct"": 94.87179487179486}, ""Stress"": {""correct"": 20, ""total"": 22, ""accuracy_pct"": 90.9090909090909}, ""Amusement"": {""correct"": 9, ""total"": 12, ""accuracy_pct"": 75.0}, ""Meditation"": {""correct"": 26, ""total"": 26, ""accuracy_pct"": 100.0}}","[[37, 2, 0, 0], [0, 20, 0, 2], [0, 0, 9, 3], [0, 0, 0, 26]]",99,"{""Baseline"": {""base_model_used"": 26, ""personal_model_used"": 13, ""base_model_pct"": 66.66666666666666, ""personal_model_pct"": 33.33333333333333}, ""Stress"": {""base_model_used"": 19, ""personal_model_used"": 3, ""base_model_pct"": 86.36363636363636, ""personal_model_pct"": 13.636363636363635}, ""Amusement"": {""base_model_used"": 8, ""personal_model_used"": 4, ""base_model_pct"": 66.66666666666666, ""personal_model_pct"": 33.33333333333333}, ""Meditation"": {""base_model_used"": 25, ""personal_model_used"": 1, ""base_model_pct"": 96.15384615384616, ""personal_model_pct"": 3.8461538461538463}}",78,21,78.78787878787878,21.21212121212121
16,adaptive,0.9797979797979798,0.9796598900396369,"{""Baseline"": {""correct"": 39, ""total"": 39, ""accuracy_pct"": 100.0}, ""Stress"": {""correct"": 22, ""total"": 22, ""accuracy_pct"": 100.0}, ""Amusement"": {""correct"": 12, ""total"": 12, ""accuracy_pct"": 100.0}, ""Meditation"": {""correct"": 24, ""total"": 26, ""accuracy_pct"": 92.3076923076923}}","[[39, 0, 0, 0], [0, 22, 0, 0], [0, 0, 12, 0], [1, 0, 1, 24]]",99,"{""Baseline"": {""base_model_used"": 39, ""personal_model_used"": 0, ""base_model_pct"": 100.0, ""personal_model_pct"": 0.0}, ""Stress"": {""base_model_used"": 22, ""personal_model_used"": 0, ""base_model_pct"": 100.0, ""personal_model_pct"": 0.0}, ""Amusement"": {""base_model_used"": 10, ""personal_model_used"": 2, ""base_model_pct"": 83.33333333333334, ""personal_model_pct"": 16.666666666666664}, ""Meditation"": {""base_model_used"": 19, ""personal_model_used"": 7, ""base_model_pct"": 73.07692307692307, ""personal_model_pct"": 26.923076923076923}}",90,9,90.9090909090909,9.090909090909092
17,adaptive,0.9595959595959596,0.9606734006734007,"{""Baseline"": {""correct"": 36, ""total"": 39, ""accuracy_pct"": 92.3076923076923}, ""Stress"": {""correct"": 24, ""total"": 24, ""accuracy_pct"": 100.0}, ""Amusement"": {""correct"": 12, ""total"": 12, ""accuracy_pct"": 100.0}, ""Meditation"": {""correct"": 23, ""total"": 24, ""accuracy_pct"": 95.83333333333334}}","[[36, 0, 2, 1], [0, 24, 0, 0], [0, 0, 12, 0], [0, 0, 1, 23]]",99,"{""Baseline"": {""base_model_used"": 34, ""personal_model_used"": 5, ""base_model_pct"": 87.17948717948718, ""personal_model_pct"": 12.82051282051282}, ""Stress"": {""base_model_used"": 24, ""personal_model_used"": 0, ""base_model_pct"": 100.0, ""personal_model_pct"": 0.0}, ""Amusement"": {""base_model_used"": 9, ""personal_model_used"": 3, ""base_model_pct"": 75.0, ""personal_model_pct"": 25.0}, ""Meditation"": {""base_model_used"": 21, ""personal_model_used"": 3, ""base_model_pct"": 87.5, ""personal_model_pct"": 12.5}}",88,11,88.88888888888889,11.11111111111111
