subject_id,model_type,accuracy,f1_score,class_metrics,confusion_matrix,num_samples
2,personal,0.9473684210526315,0.9476518058494953,"{""Baseline"": {""correct"": 35, ""total"": 38, ""accuracy_pct"": 92.10526315789474}, ""Stress"": {""correct"": 18, ""total"": 20, ""accuracy_pct"": 90.0}, ""Amusement"": {""correct"": 12, ""total"": 12, ""accuracy_pct"": 100.0}, ""Meditation"": {""correct"": 25, ""total"": 25, ""accuracy_pct"": 100.0}}","[[35, 3, 0, 0], [1, 18, 1, 0], [0, 0, 12, 0], [0, 0, 0, 25]]",95
3,personal,0.8333333333333334,0.8327718423551757,"{""Baseline"": {""correct"": 31, ""total"": 38, ""accuracy_pct"": 81.57894736842105}, ""Stress"": {""correct"": 18, ""total"": 21, ""accuracy_pct"": 85.71428571428571}, ""Amusement"": {""correct"": 6, ""total"": 12, ""accuracy_pct"": 50.0}, ""Meditation"": {""correct"": 25, ""total"": 25, ""accuracy_pct"": 100.0}}","[[31, 0, 6, 1], [3, 18, 0, 0], [3, 0, 6, 3], [0, 0, 0, 25]]",96
4,personal,0.9175257731958762,0.9201371675598479,"{""Baseline"": {""correct"": 35, ""total"": 38, ""accuracy_pct"": 92.10526315789474}, ""Stress"": {""correct"": 21, ""total"": 21, ""accuracy_pct"": 100.0}, ""Amusement"": {""correct"": 11, ""total"": 12, ""accuracy_pct"": 91.66666666666666}, ""Meditation"": {""correct"": 22, ""total"": 26, ""accuracy_pct"": 84.61538461538461}}","[[35, 1, 2, 0], [0, 21, 0, 0], [1, 0, 11, 0], [0, 1, 3, 22]]",97
5,personal,0.9292929292929293,0.9311502042588294,"{""Baseline"": {""correct"": 39, ""total"": 40, ""accuracy_pct"": 97.5}, ""Stress"": {""correct"": 21, ""total"": 21, ""accuracy_pct"": 100.0}, ""Amusement"": {""correct"": 11, ""total"": 12, ""accuracy_pct"": 91.66666666666666}, ""Meditation"": {""correct"": 21, ""total"": 26, ""accuracy_pct"": 80.76923076923077}}","[[39, 0, 1, 0], [0, 21, 0, 0], [0, 0, 11, 1], [0, 1, 4, 21]]",99
6,personal,0.8469387755102041,0.8609929747147792,"{""Baseline"": {""correct"": 34, ""total"": 39, ""accuracy_pct"": 87.17948717948718}, ""Stress"": {""correct"": 17, ""total"": 21, ""accuracy_pct"": 80.95238095238095}, ""Amusement"": {""correct"": 9, ""total"": 12, ""accuracy_pct"": 75.0}, ""Meditation"": {""correct"": 23, ""total"": 26, ""accuracy_pct"": 88.46153846153845}}","[[34, 0, 5, 0], [0, 17, 3, 1], [1, 0, 9, 2], [0, 0, 3, 23]]",98
7,personal,0.9285714285714286,0.9305235556669527,"{""Baseline"": {""correct"": 33, ""total"": 39, ""accuracy_pct"": 84.61538461538461}, ""Stress"": {""correct"": 21, ""total"": 21, ""accuracy_pct"": 100.0}, ""Amusement"": {""correct"": 12, ""total"": 12, ""accuracy_pct"": 100.0}, ""Meditation"": {""correct"": 25, ""total"": 26, ""accuracy_pct"": 96.15384615384616}}","[[33, 0, 5, 1], [0, 21, 0, 0], [0, 0, 12, 0], [1, 0, 0, 25]]",98
8,personal,0.8585858585858586,0.854754616875829,"{""Baseline"": {""correct"": 34, ""total"": 39, ""accuracy_pct"": 87.17948717948718}, ""Stress"": {""correct"": 14, ""total"": 22, ""accuracy_pct"": 63.63636363636363}, ""Amusement"": {""correct"": 11, ""total"": 12, ""accuracy_pct"": 91.66666666666666}, ""Meditation"": {""correct"": 26, ""total"": 26, ""accuracy_pct"": 100.0}}","[[34, 0, 4, 1], [7, 14, 0, 1], [0, 0, 11, 1], [0, 0, 0, 26]]",99
9,personal,0.8673469387755102,0.8677836925677458,"{""Baseline"": {""correct"": 33, ""total"": 39, ""accuracy_pct"": 84.61538461538461}, ""Stress"": {""correct"": 16, ""total"": 21, ""accuracy_pct"": 76.19047619047619}, ""Amusement"": {""correct"": 12, ""total"": 12, ""accuracy_pct"": 100.0}, ""Meditation"": {""correct"": 24, ""total"": 26, ""accuracy_pct"": 92.3076923076923}}","[[33, 6, 0, 0], [1, 16, 0, 4], [0, 0, 12, 0], [1, 0, 1, 24]]",98
10,personal,0.9504950495049505,0.9504074528697717,"{""Baseline"": {""correct"": 39, ""total"": 39, ""accuracy_pct"": 100.0}, ""Stress"": {""correct"": 22, ""total"": 24, ""accuracy_pct"": 91.66666666666666}, ""Amusement"": {""correct"": 10, ""total"": 12, ""accuracy_pct"": 83.33333333333334}, ""Meditation"": {""correct"": 25, ""total"": 26, ""accuracy_pct"": 96.15384615384616}}","[[39, 0, 0, 0], [1, 22, 1, 0], [0, 0, 10, 2], [0, 0, 1, 25]]",101
11,personal,0.9191919191919192,0.9233522661514547,"{""Baseline"": {""correct"": 34, ""total"": 39, ""accuracy_pct"": 87.17948717948718}, ""Stress"": {""correct"": 22, ""total"": 22, ""accuracy_pct"": 100.0}, ""Amusement"": {""correct"": 11, ""total"": 12, ""accuracy_pct"": 91.66666666666666}, ""Meditation"": {""correct"": 24, ""total"": 26, ""accuracy_pct"": 92.3076923076923}}","[[34, 0, 5, 0], [0, 22, 0, 0], [0, 0, 11, 1], [1, 0, 1, 24]]",99
13,personal,0.797979797979798,0.7928697593335265,"{""Baseline"": {""correct"": 30, ""total"": 39, ""accuracy_pct"": 76.92307692307693}, ""Stress"": {""correct"": 12, ""total"": 22, ""accuracy_pct"": 54.54545454545454}, ""Amusement"": {""correct"": 11, ""total"": 12, ""accuracy_pct"": 91.66666666666666}, ""Meditation"": {""correct"": 26, ""total"": 26, ""accuracy_pct"": 100.0}}","[[30, 0, 2, 7], [3, 12, 4, 3], [1, 0, 11, 0], [0, 0, 0, 26]]",99
14,personal,0.8484848484848485,0.8493644730089844,"{""Baseline"": {""correct"": 28, ""total"": 39, ""accuracy_pct"": 71.7948717948718}, ""Stress"": {""correct"": 19, ""total"": 22, ""accuracy_pct"": 86.36363636363636}, ""Amusement"": {""correct"": 12, ""total"": 12, ""accuracy_pct"": 100.0}, ""Meditation"": {""correct"": 25, ""total"": 26, ""accuracy_pct"": 96.15384615384616}}","[[28, 0, 0, 11], [2, 19, 1, 0], [0, 0, 12, 0], [0, 0, 1, 25]]",99
15,personal,0.8787878787878788,0.8799006778156738,"{""Baseline"": {""correct"": 33, ""total"": 39, ""accuracy_pct"": 84.61538461538461}, ""Stress"": {""correct"": 17, ""total"": 22, ""accuracy_pct"": 77.27272727272727}, ""Amusement"": {""correct"": 12, ""total"": 12, ""accuracy_pct"": 100.0}, ""Meditation"": {""correct"": 25, ""total"": 26, ""accuracy_pct"": 96.15384615384616}}","[[33, 4, 2, 0], [2, 17, 2, 1], [0, 0, 12, 0], [0, 0, 1, 25]]",99
