subject_id,model_type,ensemble_weight,accuracy,f1_score,class_metrics,confusion_matrix,num_samples
2,ensemble,0.5,0.968421052631579,0.9685956354300385,"{""Baseline"": {""correct"": 36, ""total"": 38, ""accuracy_pct"": 94.73684210526315}, ""Stress"": {""correct"": 19, ""total"": 20, ""accuracy_pct"": 95.0}, ""Amusement"": {""correct"": 12, ""total"": 12, ""accuracy_pct"": 100.0}, ""Meditation"": {""correct"": 25, ""total"": 25, ""accuracy_pct"": 100.0}}","[[36, 2, 0, 0], [1, 19, 0, 0], [0, 0, 12, 0], [0, 0, 0, 25]]",95
3,ensemble,0.6,0.9791666666666666,0.9789829497466265,"{""Baseline"": {""correct"": 38, ""total"": 38, ""accuracy_pct"": 100.0}, ""Stress"": {""correct"": 20, ""total"": 21, ""accuracy_pct"": 95.23809523809523}, ""Amusement"": {""correct"": 11, ""total"": 12, ""accuracy_pct"": 91.66666666666666}, ""Meditation"": {""correct"": 25, ""total"": 25, ""accuracy_pct"": 100.0}}","[[38, 0, 0, 0], [1, 20, 0, 0], [0, 0, 11, 1], [0, 0, 0, 25]]",96
4,ensemble,0.6,0.9896907216494846,0.989741868456805,"{""Baseline"": {""correct"": 37, ""total"": 38, ""accuracy_pct"": 97.36842105263158}, ""Stress"": {""correct"": 21, ""total"": 21, ""accuracy_pct"": 100.0}, ""Amusement"": {""correct"": 12, ""total"": 12, ""accuracy_pct"": 100.0}, ""Meditation"": {""correct"": 26, ""total"": 26, ""accuracy_pct"": 100.0}}","[[37, 1, 0, 0], [0, 21, 0, 0], [0, 0, 12, 0], [0, 0, 0, 26]]",97
5,ensemble,0.8,0.9393939393939394,0.9403754526396038,"{""Baseline"": {""correct"": 40, ""total"": 40, ""accuracy_pct"": 100.0}, ""Stress"": {""correct"": 19, ""total"": 21, ""accuracy_pct"": 90.47619047619048}, ""Amusement"": {""correct"": 10, ""total"": 12, ""accuracy_pct"": 83.33333333333334}, ""Meditation"": {""correct"": 24, ""total"": 26, ""accuracy_pct"": 92.3076923076923}}","[[40, 0, 0, 0], [0, 19, 1, 1], [0, 0, 10, 2], [0, 0, 2, 24]]",99
6,ensemble,0.5,0.9591836734693877,0.960491385257569,"{""Baseline"": {""correct"": 37, ""total"": 39, ""accuracy_pct"": 94.87179487179486}, ""Stress"": {""correct"": 20, ""total"": 21, ""accuracy_pct"": 95.23809523809523}, ""Amusement"": {""correct"": 12, ""total"": 12, ""accuracy_pct"": 100.0}, ""Meditation"": {""correct"": 25, ""total"": 26, ""accuracy_pct"": 96.15384615384616}}","[[37, 0, 2, 0], [0, 20, 0, 1], [0, 0, 12, 0], [0, 0, 1, 25]]",98
7,ensemble,0.6,0.9489795918367347,0.9484278155706727,"{""Baseline"": {""correct"": 38, ""total"": 39, ""accuracy_pct"": 97.43589743589743}, ""Stress"": {""correct"": 21, ""total"": 21, ""accuracy_pct"": 100.0}, ""Amusement"": {""correct"": 12, ""total"": 12, ""accuracy_pct"": 100.0}, ""Meditation"": {""correct"": 22, ""total"": 26, ""accuracy_pct"": 84.61538461538461}}","[[38, 0, 1, 0], [0, 21, 0, 0], [0, 0, 12, 0], [4, 0, 0, 22]]",98
8,ensemble,0.6,0.9191919191919192,0.9185314053606737,"{""Baseline"": {""correct"": 37, ""total"": 39, ""accuracy_pct"": 94.87179487179486}, ""Stress"": {""correct"": 17, ""total"": 22, ""accuracy_pct"": 77.27272727272727}, ""Amusement"": {""correct"": 11, ""total"": 12, ""accuracy_pct"": 91.66666666666666}, ""Meditation"": {""correct"": 26, ""total"": 26, ""accuracy_pct"": 100.0}}","[[37, 0, 2, 0], [5, 17, 0, 0], [1, 0, 11, 0], [0, 0, 0, 26]]",99
9,ensemble,0.4,0.9387755102040817,0.9400510204081632,"{""Baseline"": {""correct"": 33, ""total"": 39, ""accuracy_pct"": 84.61538461538461}, ""Stress"": {""correct"": 21, ""total"": 21, ""accuracy_pct"": 100.0}, ""Amusement"": {""correct"": 12, ""total"": 12, ""accuracy_pct"": 100.0}, ""Meditation"": {""correct"": 26, ""total"": 26, ""accuracy_pct"": 100.0}}","[[33, 6, 0, 0], [0, 21, 0, 0], [0, 0, 12, 0], [0, 0, 0, 26]]",98
10,ensemble,0.5,1.0,1.0,"{""Baseline"": {""correct"": 39, ""total"": 39, ""accuracy_pct"": 100.0}, ""Stress"": {""correct"": 24, ""total"": 24, ""accuracy_pct"": 100.0}, ""Amusement"": {""correct"": 12, ""total"": 12, ""accuracy_pct"": 100.0}, ""Meditation"": {""correct"": 26, ""total"": 26, ""accuracy_pct"": 100.0}}","[[39, 0, 0, 0], [0, 24, 0, 0], [0, 0, 12, 0], [0, 0, 0, 26]]",101
11,ensemble,0.5,1.0,1.0,"{""Baseline"": {""correct"": 39, ""total"": 39, ""accuracy_pct"": 100.0}, ""Stress"": {""correct"": 22, ""total"": 22, ""accuracy_pct"": 100.0}, ""Amusement"": {""correct"": 12, ""total"": 12, ""accuracy_pct"": 100.0}, ""Meditation"": {""correct"": 26, ""total"": 26, ""accuracy_pct"": 100.0}}","[[39, 0, 0, 0], [0, 22, 0, 0], [0, 0, 12, 0], [0, 0, 0, 26]]",99
13,ensemble,0.5,0.8383838383838383,0.8333057850268599,"{""Baseline"": {""correct"": 34, ""total"": 39, ""accuracy_pct"": 87.17948717948718}, ""Stress"": {""correct"": 13, ""total"": 22, ""accuracy_pct"": 59.09090909090909}, ""Amusement"": {""correct"": 11, ""total"": 12, ""accuracy_pct"": 91.66666666666666}, ""Meditation"": {""correct"": 25, ""total"": 26, ""accuracy_pct"": 96.15384615384616}}","[[34, 0, 0, 5], [4, 13, 4, 1], [1, 0, 11, 0], [1, 0, 0, 25]]",99
14,ensemble,0.5,0.9696969696969697,0.9697265099285302,"{""Baseline"": {""correct"": 38, ""total"": 39, ""accuracy_pct"": 97.43589743589743}, ""Stress"": {""correct"": 20, ""total"": 22, ""accuracy_pct"": 90.9090909090909}, ""Amusement"": {""correct"": 12, ""total"": 12, ""accuracy_pct"": 100.0}, ""Meditation"": {""correct"": 26, ""total"": 26, ""accuracy_pct"": 100.0}}","[[38, 0, 0, 1], [0, 20, 1, 1], [0, 0, 12, 0], [0, 0, 0, 26]]",99
15,ensemble,0.6,0.9090909090909091,0.9056779939919994,"{""Baseline"": {""correct"": 38, ""total"": 39, ""accuracy_pct"": 97.43589743589743}, ""Stress"": {""correct"": 19, ""total"": 22, ""accuracy_pct"": 86.36363636363636}, ""Amusement"": {""correct"": 7, ""total"": 12, ""accuracy_pct"": 58.333333333333336}, ""Meditation"": {""correct"": 26, ""total"": 26, ""accuracy_pct"": 100.0}}","[[38, 1, 0, 0], [1, 19, 0, 2], [0, 0, 7, 5], [0, 0, 0, 26]]",99
16,ensemble,0.6,0.9797979797979798,0.9796555270003207,"{""Baseline"": {""correct"": 39, ""total"": 39, ""accuracy_pct"": 100.0}, ""Stress"": {""correct"": 22, ""total"": 22, ""accuracy_pct"": 100.0}, ""Amusement"": {""correct"": 11, ""total"": 12, ""accuracy_pct"": 91.66666666666666}, ""Meditation"": {""correct"": 25, ""total"": 26, ""accuracy_pct"": 96.15384615384616}}","[[39, 0, 0, 0], [0, 22, 0, 0], [0, 1, 11, 0], [1, 0, 0, 25]]",99
