subject_id,model_type,accuracy,f1_score,class_metrics,confusion_matrix,num_samples
2,base,0.9894736842105263,0.9895318784766794,"{""Baseline"": {""correct"": 37, ""total"": 38, ""accuracy_pct"": 97.36842105263158}, ""Stress"": {""correct"": 20, ""total"": 20, ""accuracy_pct"": 100.0}, ""Amusement"": {""correct"": 12, ""total"": 12, ""accuracy_pct"": 100.0}, ""Meditation"": {""correct"": 25, ""total"": 25, ""accuracy_pct"": 100.0}}","[[37, 1, 0, 0], [0, 20, 0, 0], [0, 0, 12, 0], [0, 0, 0, 25]]",95
3,base,0.96875,0.968371935591405,"{""Baseline"": {""correct"": 38, ""total"": 38, ""accuracy_pct"": 100.0}, ""Stress"": {""correct"": 19, ""total"": 21, ""accuracy_pct"": 90.47619047619048}, ""Amusement"": {""correct"": 11, ""total"": 12, ""accuracy_pct"": 91.66666666666666}, ""Meditation"": {""correct"": 25, ""total"": 25, ""accuracy_pct"": 100.0}}","[[38, 0, 0, 0], [2, 19, 0, 0], [0, 0, 11, 1], [0, 0, 0, 25]]",96
4,base,0.9690721649484536,0.9690721649484536,"{""Baseline"": {""correct"": 36, ""total"": 38, ""accuracy_pct"": 94.73684210526315}, ""Stress"": {""correct"": 20, ""total"": 21, ""accuracy_pct"": 95.23809523809523}, ""Amusement"": {""correct"": 12, ""total"": 12, ""accuracy_pct"": 100.0}, ""Meditation"": {""correct"": 26, ""total"": 26, ""accuracy_pct"": 100.0}}","[[36, 1, 1, 0], [1, 20, 0, 0], [0, 0, 12, 0], [0, 0, 0, 26]]",97
5,base,0.9393939393939394,0.9403754526396038,"{""Baseline"": {""correct"": 40, ""total"": 40, ""accuracy_pct"": 100.0}, ""Stress"": {""correct"": 19, ""total"": 21, ""accuracy_pct"": 90.47619047619048}, ""Amusement"": {""correct"": 10, ""total"": 12, ""accuracy_pct"": 83.33333333333334}, ""Meditation"": {""correct"": 24, ""total"": 26, ""accuracy_pct"": 92.3076923076923}}","[[40, 0, 0, 0], [0, 19, 1, 1], [0, 0, 10, 2], [0, 0, 2, 24]]",99
6,base,0.9795918367346939,0.9801082376270347,"{""Baseline"": {""correct"": 37, ""total"": 39, ""accuracy_pct"": 94.87179487179486}, ""Stress"": {""correct"": 21, ""total"": 21, ""accuracy_pct"": 100.0}, ""Amusement"": {""correct"": 12, ""total"": 12, ""accuracy_pct"": 100.0}, ""Meditation"": {""correct"": 26, ""total"": 26, ""accuracy_pct"": 100.0}}","[[37, 0, 2, 0], [0, 21, 0, 0], [0, 0, 12, 0], [0, 0, 0, 26]]",98
7,base,0.9489795918367347,0.9483423860500271,"{""Baseline"": {""correct"": 38, ""total"": 39, ""accuracy_pct"": 97.43589743589743}, ""Stress"": {""correct"": 21, ""total"": 21, ""accuracy_pct"": 100.0}, ""Amusement"": {""correct"": 12, ""total"": 12, ""accuracy_pct"": 100.0}, ""Meditation"": {""correct"": 22, ""total"": 26, ""accuracy_pct"": 84.61538461538461}}","[[38, 1, 0, 0], [0, 21, 0, 0], [0, 0, 12, 0], [4, 0, 0, 22]]",98
8,base,0.9191919191919192,0.9185314053606737,"{""Baseline"": {""correct"": 37, ""total"": 39, ""accuracy_pct"": 94.87179487179486}, ""Stress"": {""correct"": 17, ""total"": 22, ""accuracy_pct"": 77.27272727272727}, ""Amusement"": {""correct"": 11, ""total"": 12, ""accuracy_pct"": 91.66666666666666}, ""Meditation"": {""correct"": 26, ""total"": 26, ""accuracy_pct"": 100.0}}","[[37, 0, 2, 0], [5, 17, 0, 0], [1, 0, 11, 0], [0, 0, 0, 26]]",99
9,base,0.9897959183673469,0.9898483102090125,"{""Baseline"": {""correct"": 38, ""total"": 39, ""accuracy_pct"": 97.43589743589743}, ""Stress"": {""correct"": 21, ""total"": 21, ""accuracy_pct"": 100.0}, ""Amusement"": {""correct"": 12, ""total"": 12, ""accuracy_pct"": 100.0}, ""Meditation"": {""correct"": 26, ""total"": 26, ""accuracy_pct"": 100.0}}","[[38, 1, 0, 0], [0, 21, 0, 0], [0, 0, 12, 0], [0, 0, 0, 26]]",98
10,base,1.0,1.0,"{""Baseline"": {""correct"": 39, ""total"": 39, ""accuracy_pct"": 100.0}, ""Stress"": {""correct"": 24, ""total"": 24, ""accuracy_pct"": 100.0}, ""Amusement"": {""correct"": 12, ""total"": 12, ""accuracy_pct"": 100.0}, ""Meditation"": {""correct"": 26, ""total"": 26, ""accuracy_pct"": 100.0}}","[[39, 0, 0, 0], [0, 24, 0, 0], [0, 0, 12, 0], [0, 0, 0, 26]]",101
11,base,0.9393939393939394,0.9385996231846033,"{""Baseline"": {""correct"": 38, ""total"": 39, ""accuracy_pct"": 97.43589743589743}, ""Stress"": {""correct"": 19, ""total"": 22, ""accuracy_pct"": 86.36363636363636}, ""Amusement"": {""correct"": 10, ""total"": 12, ""accuracy_pct"": 83.33333333333334}, ""Meditation"": {""correct"": 26, ""total"": 26, ""accuracy_pct"": 100.0}}","[[38, 0, 1, 0], [0, 19, 0, 3], [1, 1, 10, 0], [0, 0, 0, 26]]",99
13,base,0.8686868686868687,0.8657434650162236,"{""Baseline"": {""correct"": 36, ""total"": 39, ""accuracy_pct"": 92.3076923076923}, ""Stress"": {""correct"": 15, ""total"": 22, ""accuracy_pct"": 68.18181818181817}, ""Amusement"": {""correct"": 10, ""total"": 12, ""accuracy_pct"": 83.33333333333334}, ""Meditation"": {""correct"": 25, ""total"": 26, ""accuracy_pct"": 96.15384615384616}}","[[36, 0, 0, 3], [6, 15, 1, 0], [1, 1, 10, 0], [1, 0, 0, 25]]",99
14,base,0.9696969696969697,0.9691644539341016,"{""Baseline"": {""correct"": 39, ""total"": 39, ""accuracy_pct"": 100.0}, ""Stress"": {""correct"": 19, ""total"": 22, ""accuracy_pct"": 86.36363636363636}, ""Amusement"": {""correct"": 12, ""total"": 12, ""accuracy_pct"": 100.0}, ""Meditation"": {""correct"": 26, ""total"": 26, ""accuracy_pct"": 100.0}}","[[39, 0, 0, 0], [0, 19, 1, 2], [0, 0, 12, 0], [0, 0, 0, 26]]",99
15,base,0.9090909090909091,0.9056779939919994,"{""Baseline"": {""correct"": 38, ""total"": 39, ""accuracy_pct"": 97.43589743589743}, ""Stress"": {""correct"": 19, ""total"": 22, ""accuracy_pct"": 86.36363636363636}, ""Amusement"": {""correct"": 7, ""total"": 12, ""accuracy_pct"": 58.333333333333336}, ""Meditation"": {""correct"": 26, ""total"": 26, ""accuracy_pct"": 100.0}}","[[38, 1, 0, 0], [1, 19, 0, 2], [0, 0, 7, 5], [0, 0, 0, 26]]",99
16,base,0.9696969696969697,0.9694381008149123,"{""Baseline"": {""correct"": 39, ""total"": 39, ""accuracy_pct"": 100.0}, ""Stress"": {""correct"": 22, ""total"": 22, ""accuracy_pct"": 100.0}, ""Amusement"": {""correct"": 11, ""total"": 12, ""accuracy_pct"": 91.66666666666666}, ""Meditation"": {""correct"": 24, ""total"": 26, ""accuracy_pct"": 92.3076923076923}}","[[39, 0, 0, 0], [0, 22, 0, 0], [0, 1, 11, 0], [2, 0, 0, 24]]",99
17,base,0.9393939393939394,0.9406397478988218,"{""Baseline"": {""correct"": 35, ""total"": 39, ""accuracy_pct"": 89.74358974358975}, ""Stress"": {""correct"": 24, ""total"": 24, ""accuracy_pct"": 100.0}, ""Amusement"": {""correct"": 11, ""total"": 12, ""accuracy_pct"": 91.66666666666666}, ""Meditation"": {""correct"": 23, ""total"": 24, ""accuracy_pct"": 95.83333333333334}}","[[35, 2, 2, 0], [0, 24, 0, 0], [0, 1, 11, 0], [0, 0, 1, 23]]",99
